ROWID,Calendar Day,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from prime movers (pm),Capacity of power generation from fuel oil (fo),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output
6109,2020-07-30,Thermal_Gas Liquid,24937.02,9258.2,,42.97,3485.72,10885.79,14414.47,57.8,10522.54,8333.63,8166.96,77.61,32.75
636,2020-07-30,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
2495,2020-07-30,Nuclear,6780.0,320.0,,2320.0,740.0,0.0,3060.0,45.13,3720.0,3699.43,3274.0,88.01,48.29
7777,2020-07-31,Hydro,45699.22,2894.45,,2523.7,1858.2,3036.75,7418.65,16.23,38280.57,30207.88,29905.8,78.12,65.44
6075,2020-07-31,Thermal_Gas Liquid,24937.02,9258.2,,42.97,3485.72,11041.89,14570.57,58.43,10366.44,8174.39,8010.9,77.28,32.12
637,2020-07-31,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
2496,2020-07-31,Nuclear,6780.0,320.0,,2320.0,740.0,0.0,3060.0,45.13,3720.0,3707.76,3281.37,88.21,48.4
9296,2020-07-31,Thermal_Coal Lignite,205942.5,7275.0,4350.0,4194.0,62836.5,3505.0,70535.5,34.25,135407.0,139688.33,127116.38,93.88,61.72
2497,2020-08-01,Nuclear,6780.0,320.0,,2320.0,740.0,0.0,3060.0,45.13,3720.0,3715.07,3287.84,88.38,48.49
638,2020-08-01,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
9289,2020-08-01,Thermal_Coal Lignite,205942.5,7275.0,4350.0,4194.0,61456.5,5035.0,70685.5,34.32,135257.0,137940.5,125525.86,92.81,60.95
7816,2020-08-01,Hydro,45699.22,2894.45,,2453.7,1738.4,3133.05,7325.15,16.03,38374.07,30330.36,30027.06,78.25,65.71
5950,2020-08-01,Thermal_Gas Liquid,24937.02,9258.2,,42.97,3506.72,11570.29,15119.97,60.63,9817.04,8262.57,8097.32,82.48,32.47
639,2020-08-02,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
5993,2020-08-02,Thermal_Gas Liquid,24937.02,9148.2,,42.97,3506.72,11460.29,15009.97,60.19,9927.04,7395.85,7247.93,73.01,29.06
7692,2020-08-02,Hydro,45699.22,2894.45,,2453.7,1763.4,3395.45,7612.55,16.66,38086.67,30409.98,30105.88,79.05,65.88
2498,2020-08-02,Nuclear,6780.0,320.0,,2320.0,740.0,0.0,3060.0,45.13,3720.0,3676.99,3254.14,87.48,48.0
9108,2020-08-02,Thermal_Coal Lignite,205942.5,7275.0,4350.0,4194.0,64575.0,5035.0,73804.0,35.84,132138.5,136559.9,124269.51,94.04,60.34
2499,2020-08-03,Nuclear,6780.0,320.0,,2320.0,740.0,0.0,3060.0,45.13,3720.0,4711.82,4169.96,112.1,61.5
9091,2020-08-03,Thermal_Coal Lignite,205942.5,7275.0,4350.0,3944.0,64647.5,5500.0,74091.5,35.98,131851.0,136434.06,124155.0,94.16,60.29
5964,2020-08-03,Thermal_Gas Liquid,24937.01,9148.2,,33.0,3516.69,11540.29,15089.97,60.51,9847.03,7578.17,7426.61,75.42,29.78
640,2020-08-03,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
7624,2020-08-03,Hydro,45699.22,2894.45,,2453.7,1787.7,3554.45,7795.85,17.06,37903.37,30008.47,29708.39,78.38,65.01
9084,2020-08-04,Thermal_Coal Lignite,205942.5,7275.0,4350.0,3944.0,63607.5,6620.0,74171.5,36.02,131771.0,134637.74,122520.35,92.98,59.49
641,2020-08-04,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
3323,2020-08-04,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4664.92,4128.46,87.47,60.89
6144,2020-08-04,Thermal_Gas Liquid,24937.01,9038.2,,33.0,3506.72,10773.69,14313.41,57.4,10623.6,8195.72,8031.8,75.6,32.21
7805,2020-08-04,Hydro,45699.22,2894.45,,2513.7,1887.7,2952.45,7353.85,16.09,38345.37,30249.6,29947.1,78.1,65.53
3324,2020-08-05,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4706.76,4165.48,88.25,61.44
6061,2020-08-05,Thermal_Gas Liquid,24937.01,8928.2,,33.0,3662.82,10936.99,14632.81,58.68,10304.2,8129.13,7966.55,77.31,31.95
7933,2020-08-05,Hydro,45699.22,2894.45,,2403.7,1850.2,2722.45,6976.35,15.27,38722.87,31359.14,31045.55,80.17,67.93
8996,2020-08-05,Thermal_Coal Lignite,205942.5,7275.0,4350.0,4444.0,64507.5,7120.0,76071.5,36.94,129871.0,132210.0,120311.1,92.64,58.42
642,2020-08-05,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
7920,2020-08-06,Hydro,45699.22,2894.45,,2403.7,1800.2,2815.95,7019.85,15.36,38679.37,31102.92,30791.89,79.61,67.38
3325,2020-08-06,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4815.77,4261.96,90.3,62.86
6060,2020-08-06,Thermal_Gas Liquid,24937.01,8928.2,,42.97,3662.82,10936.99,14642.77,58.72,10294.23,7535.02,7384.32,71.73,29.61
643,2020-08-06,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
8915,2020-08-06,Thermal_Coal Lignite,205942.5,7275.0,4350.0,4779.0,66345.0,6560.0,77684.0,37.72,128258.5,130480.7,118737.44,92.58,57.66
8846,2020-08-07,Thermal_Coal Lignite,205942.5,7275.0,4350.0,5029.0,68680.0,6350.0,80059.0,38.87,125883.5,130354.63,118622.72,94.23,57.6
644,2020-08-07,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
6055,2020-08-07,Thermal_Gas Liquid,24937.01,8928.2,,33.0,3662.82,10970.49,14666.31,58.81,10270.7,7845.37,7688.46,74.86,30.83
7756,2020-08-07,Hydro,45699.22,2894.45,,2403.7,2149.4,2921.45,7474.55,16.36,38224.67,31666.03,31349.37,82.01,68.6
3326,2020-08-07,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4814.51,4260.84,90.27,62.84
7983,2020-08-08,Hydro,45699.22,3094.45,,2543.7,1798.4,2516.45,6858.55,15.01,38840.67,31599.09,31283.1,80.54,68.45
645,2020-08-08,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
8899,2020-08-08,Thermal_Coal Lignite,205942.5,7275.0,4350.0,5029.0,68035.0,5100.0,78164.0,37.95,127778.5,128920.7,117317.84,91.81,56.97
3327,2020-08-08,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4811.66,4258.32,90.22,62.81
6124,2020-08-08,Thermal_Gas Liquid,24937.01,8928.2,,33.0,3682.82,10670.69,14386.51,57.69,10550.5,7893.16,7735.3,73.32,31.02
6123,2020-08-09,Thermal_Gas Liquid,24937.01,8928.2,,33.0,3702.82,10650.69,14386.51,57.69,10550.5,7859.46,7702.27,73.0,30.89
646,2020-08-09,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
7968,2020-08-09,Hydro,45699.22,3094.45,,2343.7,1825.2,2715.65,6884.55,15.06,38814.67,31822.15,31503.93,81.17,68.94
8862,2020-08-09,Thermal_Coal Lignite,205942.5,7275.0,4350.0,4904.0,69645.0,4940.0,79489.0,38.6,126453.5,127158.31,115714.07,91.51,56.19
3328,2020-08-09,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4816.89,4262.95,90.32,62.88
6198,2020-08-10,Thermal_Gas Liquid,24937.01,8928.2,,33.0,3681.82,10239.69,13954.51,55.96,10982.5,8608.44,8436.27,76.82,33.83
8868,2020-08-10,Thermal_Coal Lignite,205942.5,7275.0,4350.0,5029.0,68960.0,5190.0,79179.0,38.45,126763.5,129704.52,118031.12,93.11,57.31
3329,2020-08-10,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4832.82,4277.05,90.62,63.08
7874,2020-08-10,Hydro,45699.22,3094.45,,2306.7,1630.8,3191.55,7129.05,15.6,38570.17,31925.01,31605.76,81.94,69.16
647,2020-08-10,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
648,2020-08-11,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
8896,2020-08-11,Thermal_Coal Lignite,205942.5,7275.0,4350.0,4779.0,69435.0,4005.0,78219.0,37.98,127723.5,128809.9,117217.01,91.77,56.92
6196,2020-08-11,Thermal_Gas Liquid,24937.01,8928.2,,42.97,3681.82,10270.65,13995.44,56.12,10941.57,8868.98,8691.6,79.44,34.85
7958,2020-08-11,Hydro,45699.22,3094.45,,2333.7,1599.4,2975.55,6908.65,15.12,38790.57,31321.73,31008.51,79.94,67.85
3330,2020-08-11,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4867.88,4308.07,91.27,63.54
649,2020-08-12,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
3331,2020-08-12,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4794.56,4243.19,89.9,62.58
7799,2020-08-12,Hydro,45699.22,3094.45,,2273.7,1719.4,3378.85,7371.95,16.13,38327.27,31097.93,30786.95,80.33,67.37
8872,2020-08-12,Thermal_Coal Lignite,205942.5,7275.0,4350.0,4779.0,69640.0,4675.0,79094.0,38.41,126848.5,125695.32,114382.74,90.17,55.54
6197,2020-08-12,Thermal_Gas Liquid,24937.01,8928.2,,42.97,3661.82,10280.62,13985.4,56.08,10951.6,8200.98,8036.96,73.39,32.23
8833,2020-08-13,Thermal_Coal Lignite,205942.5,7275.0,4350.0,4779.0,71595.0,4675.0,81049.0,39.36,124893.5,126062.35,114716.74,91.85,55.7
6086,2020-08-13,Thermal_Gas Liquid,24937.01,8928.2,,62.97,3682.82,10798.79,14544.57,58.33,10392.43,7383.05,7235.39,69.62,29.01
7700,2020-08-13,Hydro,45699.22,3094.45,,2653.7,1749.4,3191.95,7595.05,16.62,38104.17,31200.09,30888.09,81.06,67.59
650,2020-08-13,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
3332,2020-08-13,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4805.43,4252.81,90.1,62.73
7717,2020-08-14,Hydro,45699.22,3094.45,,2583.7,1779.4,3198.95,7562.05,16.55,38137.17,31262.37,30949.75,81.15,67.72
651,2020-08-14,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
3333,2020-08-14,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4799.71,4247.74,89.99,62.65
8784,2020-08-14,Thermal_Coal Lignite,205942.5,7275.0,4350.0,4779.0,74310.0,5360.0,84449.0,41.01,121493.5,125683.26,114371.77,94.14,55.54
6133,2020-08-14,Thermal_Gas Liquid,24937.01,8928.2,,42.97,3609.82,10694.19,14346.97,57.53,10590.03,7614.12,7461.84,70.46,29.92
8773,2020-08-15,Thermal_Coal Lignite,205942.5,7275.0,4350.0,4979.0,76245.0,5610.0,86834.0,42.16,119108.5,121493.71,110559.27,92.82,53.68
652,2020-08-15,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
3334,2020-08-15,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4752.2,4205.7,89.1,62.03
7794,2020-08-15,Hydro,45699.22,3094.45,,2583.7,1498.6,3305.75,7388.05,16.17,38311.17,31104.36,30793.32,80.38,67.38
6079,2020-08-15,Thermal_Gas Liquid,24937.01,8928.2,,53.0,3641.82,10871.29,14566.11,58.41,10370.9,7652.14,7499.1,72.31,30.07
653,2020-08-16,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
6044,2020-08-16,Thermal_Gas Liquid,24937.01,8928.2,,62.97,3874.95,10802.32,14740.24,59.11,10196.77,7786.93,7631.19,74.84,30.6
7557,2020-08-16,Hydro,45699.22,3094.45,,2843.7,1682.8,3460.05,7986.55,17.48,37712.67,31095.05,30784.1,81.63,67.36
8770,2020-08-16,Thermal_Coal Lignite,205942.5,7275.0,4350.0,6239.0,75655.0,5220.0,87114.0,42.3,118828.5,119232.9,108501.94,91.31,52.69
3335,2020-08-16,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4772.18,4223.38,89.48,62.29
8783,2020-08-17,Thermal_Coal Lignite,205942.5,7345.0,4350.0,6239.0,73635.0,4620.0,84494.0,41.03,121448.5,122618.13,111582.5,91.88,54.18
7629,2020-08-17,Hydro,45699.22,3144.45,,2603.7,1784.6,3400.05,7788.35,17.04,37910.87,31453.21,31138.68,82.14,68.14
6121,2020-08-17,Thermal_Gas Liquid,24937.01,8928.2,,62.97,3523.95,10802.32,14389.24,57.7,10547.77,8311.15,8144.93,77.22,32.66
3336,2020-08-17,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4740.35,4195.21,88.88,61.88
654,2020-08-17,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
6174,2020-08-18,Thermal_Gas Liquid,24937.01,8655.0,,62.97,3545.95,10577.42,14186.33,56.89,10750.67,8611.75,8439.51,78.5,33.84
8826,2020-08-18,Thermal_Coal Lignite,205942.5,7345.0,4350.0,5439.0,70730.0,5070.0,81239.0,39.45,124703.5,126281.86,114916.5,92.15,55.8
3337,2020-08-18,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4754.81,4208.01,89.15,62.06
7771,2020-08-18,Hydro,45699.22,3144.45,,2740.7,1736.6,2960.05,7437.35,16.27,38261.87,31798.5,31480.51,82.28,68.89
655,2020-08-18,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
656,2020-08-19,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
6214,2020-08-19,Thermal_Gas Liquid,24937.01,8655.0,,62.97,3597.95,10199.09,13860.0,55.58,11077.0,8769.44,8594.05,77.58,34.46
7612,2020-08-19,Hydro,45699.22,3144.45,,2870.7,1820.6,3120.05,7811.35,17.09,37887.87,32215.39,31893.23,84.18,69.79
8852,2020-08-19,Thermal_Coal Lignite,205942.5,7345.0,4350.0,4979.0,70420.0,4410.0,79809.0,38.75,126133.5,123390.84,112285.67,89.02,54.52
3338,2020-08-19,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4773.3,4224.37,89.5,62.31
657,2020-08-20,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
6220,2020-08-20,Thermal_Gas Liquid,24902.01,8644.0,,53.0,3656.05,9991.78,13700.84,55.02,11201.17,8427.67,8259.12,73.73,33.17
3339,2020-08-20,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4780.11,4230.4,89.63,62.4
8781,2020-08-20,Thermal_Coal Lignite,205942.5,7345.0,4350.0,5749.0,73947.5,5040.0,84736.5,41.15,121206.0,120595.59,109741.98,90.54,53.29
7759,2020-08-20,Hydro,45699.22,3144.45,,2870.7,1498.6,3103.55,7472.85,16.35,38226.37,31496.08,31181.12,81.57,68.23
7654,2020-08-21,Hydro,45699.22,3144.45,,3000.7,1736.6,2953.05,7690.35,16.83,38008.87,31988.56,31668.67,83.32,69.3
658,2020-08-21,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
6221,2020-08-21,Thermal_Gas Liquid,24902.01,8644.0,,62.97,3551.95,10085.92,13700.84,55.02,11201.17,8444.02,8275.14,73.88,33.23
3340,2020-08-21,Nuclear,6780.0,320.0,,1320.0,740.0,0.0,2060.0,30.38,4720.0,4773.03,4224.13,89.49,62.3
8779,2020-08-21,Thermal_Coal Lignite,205942.5,7345.0,4350.0,5639.0,74487.5,5130.0,85256.5,41.4,120686.0,119748.31,108970.96,90.29,52.91
659,2020-08-22,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
7904,2020-08-22,Hydro,45699.22,3144.45,,2970.7,1498.6,2582.25,7051.55,15.43,38647.67,33073.59,32742.85,84.72,71.65
6150,2020-08-22,Thermal_Gas Liquid,24902.01,8644.0,,62.97,3588.66,10601.72,14253.35,57.24,10648.66,7787.82,7632.06,71.67,30.65
8766,2020-08-22,Thermal_Coal Lignite,205942.5,7345.0,4350.0,5639.0,76805.0,5040.0,87484.0,42.48,118458.5,119308.53,108570.77,91.65,52.72
3673,2020-08-22,Nuclear,6780.0,320.0,,1320.0,520.0,0.0,1840.0,27.14,4940.0,4774.23,4225.19,85.53,62.32
6006,2020-08-23,Thermal_Gas Liquid,24902.01,8644.0,,62.97,3935.56,10941.72,14940.25,60.0,9961.76,7007.28,6867.13,68.93,27.58
7778,2020-08-23,Hydro,45699.22,3144.45,,2880.7,1768.6,2766.25,7415.55,16.23,38283.67,33516.52,33181.35,86.67,72.61
8761,2020-08-23,Thermal_Coal Lignite,205942.5,7345.0,4350.0,6349.0,78070.0,5490.0,89909.0,43.66,116033.5,114957.93,104611.72,90.16,50.8
3674,2020-08-23,Nuclear,6780.0,320.0,,1320.0,520.0,0.0,1840.0,27.14,4940.0,5996.39,5306.81,107.43,78.27
660,2020-08-23,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
6082,2020-08-24,Thermal_Gas Liquid,24902.01,8644.0,,53.0,3524.8,10941.72,14519.52,58.31,10382.49,7056.32,6915.19,66.6,27.77
8043,2020-08-24,Hydro,45699.22,3084.45,,2793.7,1567.27,2319.75,6680.72,14.62,39018.5,34328.05,33984.77,87.1,74.37
661,2020-08-24,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
4802,2020-08-24,Nuclear,6780.0,320.0,,320.0,520.0,0.0,840.0,12.39,5940.0,6008.3,5317.35,89.52,78.43
8764,2020-08-24,Thermal_Coal Lignite,205942.5,7345.0,4350.0,6139.0,76085.0,5580.0,87804.0,42.64,118138.5,117633.9,107046.85,90.61,51.98
6090,2020-08-25,Thermal_Gas Liquid,24902.01,8644.0,,53.0,3534.83,10900.72,14488.55,58.18,10413.45,7236.95,7092.21,68.11,28.48
8771,2020-08-25,Thermal_Coal Lignite,205942.5,7345.0,4350.0,6139.0,75380.0,5580.0,87099.0,42.29,118843.5,122032.45,111049.53,93.44,53.92
7985,2020-08-25,Hydro,45699.22,3084.45,,2693.7,1638.6,2520.75,6853.05,15.0,38846.17,34583.31,34237.48,88.14,74.92
662,2020-08-25,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
4803,2020-08-25,Nuclear,6780.0,320.0,,320.0,520.0,0.0,840.0,12.39,5940.0,6057.07,5360.5,90.24,79.06
8785,2020-08-26,Thermal_Coal Lignite,205942.5,7345.0,4350.0,6139.0,72560.0,5580.0,84279.0,40.92,121663.5,124245.74,113063.62,92.93,54.9
6078,2020-08-26,Thermal_Gas Liquid,24902.01,8644.0,,53.0,3556.83,10921.72,14531.55,58.35,10370.45,7116.7,6974.37,67.25,28.01
4804,2020-08-26,Nuclear,6780.0,320.0,,320.0,520.0,0.0,840.0,12.39,5940.0,6082.49,5383.01,90.62,79.4
7962,2020-08-26,Hydro,45699.22,3084.45,,2693.7,1620.0,2586.75,6900.45,15.1,38798.77,35399.8,35045.8,90.33,76.69
663,2020-08-26,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
8800,2020-08-27,Thermal_Coal Lignite,205942.5,7555.0,4350.0,7089.0,69965.0,5580.0,82634.0,40.12,123308.5,126005.38,114664.9,92.99,55.68
664,2020-08-27,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
6067,2020-08-27,Thermal_Gas Liquid,24902.01,8644.0,,20.0,3534.83,11021.72,14576.55,58.54,10325.45,7299.75,7153.75,69.28,28.73
4805,2020-08-27,Nuclear,6780.0,320.0,,320.0,520.0,0.0,840.0,12.39,5940.0,6124.41,5420.1,91.25,79.94
7614,2020-08-27,Hydro,45699.22,3084.45,,2693.7,1648.6,3468.75,7811.05,17.09,37888.17,34858.89,34510.3,91.08,75.52
4806,2020-08-28,Nuclear,6780.0,320.0,,320.0,520.0,0.0,840.0,12.39,5940.0,6104.02,5402.06,90.94,79.68
7931,2020-08-28,Hydro,45699.22,3084.45,,2613.7,1648.6,2715.75,6978.05,15.27,38721.17,34921.12,34571.91,89.28,75.65
6053,2020-08-28,Thermal_Gas Liquid,24902.01,8644.0,,41.0,3534.83,11068.72,14644.55,58.81,10257.45,7580.1,7428.5,72.42,29.83
8787,2020-08-28,Thermal_Coal Lignite,205942.5,7555.0,4350.0,6589.0,71820.0,5580.0,83989.0,40.78,121953.5,125676.83,114365.92,93.78,55.53
665,2020-08-28,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
7681,2020-08-29,Hydro,45699.22,3084.45,,2613.7,1708.6,3308.25,7630.55,16.7,38068.67,34194.14,33852.2,88.92,74.08
6050,2020-08-29,Thermal_Gas Liquid,24902.01,8644.0,,41.0,3534.83,11102.22,14678.05,58.94,10223.95,7474.05,7324.57,71.64,29.41
666,2020-08-29,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
8790,2020-08-29,Thermal_Coal Lignite,205942.5,7555.0,4350.0,6589.0,71705.0,5370.0,83664.0,40.62,122278.5,122229.47,111228.81,90.96,54.01
4807,2020-08-29,Nuclear,6780.0,320.0,,320.0,520.0,0.0,840.0,12.39,5940.0,6051.28,5355.38,90.16,78.99
8786,2020-08-30,Thermal_Coal Lignite,205942.5,7555.0,4350.0,6649.0,72145.0,5310.0,84104.0,40.84,121838.5,121567.54,110626.46,90.8,53.72
6057,2020-08-30,Thermal_Gas Liquid,24902.01,8644.0,,41.0,3451.78,11119.72,14612.5,58.68,10289.51,7118.59,6976.22,67.8,28.01
667,2020-08-30,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
7804,2020-08-30,Hydro,45699.22,3084.45,,2483.7,1628.6,3244.75,7357.05,16.1,38342.17,31350.86,31037.35,80.95,67.92
4808,2020-08-30,Nuclear,6780.0,320.0,,320.0,520.0,0.0,840.0,12.39,5940.0,6045.95,5350.67,90.08,78.92
4809,2020-08-31,Nuclear,6780.0,320.0,,320.0,520.0,0.0,840.0,12.39,5940.0,6066.35,5368.72,90.38,79.18
7772,2020-08-31,Hydro,45699.22,3084.45,,2483.7,1733.6,3217.25,7434.55,16.27,38264.67,33216.55,32884.38,85.94,71.96
6032,2020-08-31,Thermal_Gas Liquid,24902.01,8644.0,,41.0,3674.57,11064.22,14779.79,59.35,10122.21,7520.63,7370.22,72.81,29.6
8808,2020-08-31,Thermal_Coal Lignite,205942.5,7555.0,4350.0,6399.0,71300.0,4625.0,82324.0,39.97,123618.5,125409.48,114122.62,92.32,55.41
668,2020-08-31,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
4810,2020-09-01,Nuclear,6780.0,320.0,,320.0,520.0,0.0,840.0,12.39,5940.0,6073.31,5374.88,90.49,79.28
7572,2020-09-01,Hydro,45699.22,3084.45,,2483.7,1731.8,3702.05,7917.55,17.33,37781.67,34022.39,33682.16,89.15,73.7
6036,2020-09-01,Thermal_Gas Liquid,24902.01,8644.0,,41.0,3726.57,10983.22,14750.79,59.24,10151.21,7831.01,7674.39,75.6,30.82
8792,2020-09-01,Thermal_Coal Lignite,205942.5,7765.0,4350.0,6389.0,73160.0,3875.0,83424.0,40.51,122518.5,128346.74,116795.54,95.33,56.71
669,2020-09-01,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
8859,2020-09-02,Thermal_Coal Lignite,205942.5,7765.0,4350.0,6599.0,69405.0,3575.0,79579.0,38.64,126363.5,129879.65,118190.48,93.53,57.39
6002,2020-09-02,Thermal_Gas Liquid,24902.01,8644.0,,41.0,3674.57,11242.42,14957.99,60.07,9944.01,7771.05,7615.63,76.59,30.58
670,2020-09-02,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
7688,2020-09-02,Hydro,45699.22,3084.45,,2483.7,1628.6,3508.05,7620.35,16.68,38078.87,34504.3,34159.26,89.71,74.75
4811,2020-09-02,Nuclear,6780.0,320.0,,320.0,520.0,0.0,840.0,12.39,5940.0,6026.62,5333.56,89.79,78.67
7675,2020-09-03,Hydro,45699.22,3084.45,,2463.7,1658.6,3522.25,7644.55,16.73,38054.67,34230.97,33888.66,89.05,74.16
4812,2020-09-03,Nuclear,6780.0,320.0,,320.0,520.0,0.0,840.0,12.39,5940.0,6031.56,5337.93,89.86,78.73
5968,2020-09-03,Thermal_Gas Liquid,24902.01,8644.0,,41.0,3674.57,11334.62,15050.19,60.44,9851.81,7912.59,7754.34,78.71,31.14
8934,2020-09-03,Thermal_Coal Lignite,205942.5,7765.0,4350.0,6084.0,67755.0,3427.5,77266.5,37.52,128676.0,135641.74,123433.99,95.93,59.94
671,2020-09-03,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
7693,2020-09-04,Hydro,45699.22,3084.45,,2463.7,1658.6,3487.85,7610.15,16.65,38089.07,34349.05,34005.56,89.28,74.41
5957,2020-09-04,Thermal_Gas Liquid,24902.01,8644.0,,41.0,3674.57,11356.62,15072.19,60.53,9829.81,8182.93,8019.27,81.58,32.2
9109,2020-09-04,Thermal_Coal Lignite,205942.5,7765.0,4350.0,6584.0,63842.5,3365.0,73791.5,35.83,132151.0,135920.75,123687.88,93.6,60.06
4813,2020-09-04,Nuclear,6780.0,320.0,,320.0,520.0,0.0,840.0,12.39,5940.0,6084.51,5384.79,90.65,79.42
672,2020-09-04,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
9126,2020-09-05,Thermal_Coal Lignite,205942.5,7765.0,4350.0,6584.0,64255.0,2765.0,73604.0,35.74,132338.5,136985.2,124656.53,94.2,60.53
7663,2020-09-05,Hydro,45699.22,3084.45,,2463.7,1598.6,3602.85,7665.15,16.77,38034.07,34320.49,33977.29,89.33,74.35
6066,2020-09-05,Thermal_Gas Liquid,24902.01,8644.0,,392.0,3636.34,10550.12,14578.46,58.54,10323.54,7921.91,7763.47,75.2,31.18
4188,2020-09-05,Nuclear,6780.0,320.0,,320.0,1060.0,0.0,1380.0,20.35,5400.0,6102.95,5401.11,100.02,79.66
673,2020-09-05,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
7455,2020-09-06,Hydro,45699.22,3107.45,,2343.7,1808.6,4043.85,8196.15,17.93,37503.07,33360.54,33026.93,88.06,72.27
4189,2020-09-06,Nuclear,6780.0,320.0,,320.0,1060.0,0.0,1380.0,20.35,5400.0,5550.34,4912.05,90.96,72.45
674,2020-09-06,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85
9343,2020-09-06,Thermal_Coal Lignite,205942.5,7975.0,4350.0,6584.0,60855.0,2305.0,69744.0,33.87,136198.5,133673.58,121642.96,89.31,59.07
