ROWID,Calendar Day,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from prime movers (pm),Capacity of power generation from fuel oil (fo),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output
9100,2017-09-12,Thermal_Coal Lignite,193276.5,5814.0,12540.0,10459.0,50820.5,0.0,61279.5,31.71,131997.0,141903.19,129131.9,97.83,66.81
6662,2017-09-12,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9210.36,9290.36,36.97,15840.52,10829.11,10612.53,67.0,42.23
1978,2017-09-12,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
2521,2017-09-12,Nuclear,6780.0,540.0,,1360.0,1640.0,0.0,3000.0,44.25,3780.0,4252.2,3763.2,99.56,55.5
8687,2017-09-12,Hydro,44753.42,1142.9,,631.15,1594.1,1170.17,3395.42,7.59,41358.0,34883.02,34534.19,83.5,77.17
10773,2017-09-13,Nuclear,6780.0,,,,,,,,,4035.0,3570.97,,52.67
10730,2017-09-13,Thermal_Coal Lignite,193276.5,1480.0,12540.0,2515.0,16010.0,0.0,18525.0,9.58,174751.5,141939.21,129164.68,73.91,66.83
6736,2017-09-13,Thermal_Gas Liquid,25130.88,216.0,,0.0,0.0,216.0,216.0,0.86,24914.88,11748.5,11513.53,46.21,45.81
8749,2017-09-13,Hydro,44753.42,156.4,,63.4,165.0,108.0,336.4,0.75,44417.02,34725.83,34378.57,77.4,76.82
10768,2017-09-13,Thermal_Diesel,837.63,,,,,,,,,46.05,45.13,,5.39
6683,2017-09-14,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9115.36,9195.36,36.59,15935.52,12304.78,12058.68,75.67,47.98
9085,2017-09-14,Thermal_Coal Lignite,193276.5,5814.0,12540.0,9724.0,51768.0,0.0,61492.0,31.82,131784.5,141760.6,129002.15,97.89,66.74
1979,2017-09-14,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8704,2017-09-14,Hydro,44753.42,1133.9,,721.15,1221.6,1216.0,3158.75,7.06,41594.67,33417.93,33083.75,79.54,73.92
2522,2017-09-14,Nuclear,6780.0,540.0,,1360.0,1640.0,0.0,3000.0,44.25,3780.0,4036.0,3571.86,94.49,52.68
8668,2017-09-15,Hydro,44753.42,1133.9,,721.15,1438.1,1436.84,3596.09,8.04,41157.33,31531.3,31215.99,75.85,69.75
1980,2017-09-15,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
2523,2017-09-15,Nuclear,6780.0,540.0,,1360.0,1640.0,0.0,3000.0,44.25,3780.0,4071.0,3602.84,95.31,53.14
6673,2017-09-15,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9180.76,9260.76,36.85,15870.12,11784.34,11548.65,72.77,45.95
9174,2017-09-15,Thermal_Coal Lignite,193276.5,5814.0,12540.0,9724.0,50303.0,0.0,60027.0,31.06,133249.5,141401.12,128675.02,96.57,66.58
2524,2017-09-16,Nuclear,6780.0,540.0,,1360.0,1640.0,0.0,3000.0,44.25,3780.0,4070.0,3601.95,95.29,53.13
9264,2017-09-16,Thermal_Coal Lignite,193276.5,5814.0,12540.0,9674.0,48813.0,0.0,58487.0,30.26,134789.5,144080.52,131113.27,97.27,67.84
6697,2017-09-16,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9066.86,9146.86,36.4,15984.02,10966.31,10746.98,67.24,42.76
1981,2017-09-16,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8662,2017-09-16,Hydro,44753.42,1133.9,,611.15,1303.6,1716.84,3631.59,8.11,41121.83,29609.64,29313.54,71.28,65.5
9160,2017-09-17,Thermal_Coal Lignite,193276.5,5814.0,12540.0,9674.0,50553.0,0.0,60227.0,31.16,133049.5,142429.24,129610.61,97.42,67.06
1982,2017-09-17,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
2525,2017-09-17,Nuclear,6780.0,540.0,,1360.0,1640.0,0.0,3000.0,44.25,3780.0,4113.0,3640.01,96.3,53.69
8621,2017-09-17,Hydro,44753.42,1133.9,,691.15,1343.1,1865.17,3899.42,8.71,40854.0,28162.76,27881.13,68.25,62.3
6698,2017-09-17,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9066.86,9146.86,36.4,15984.02,10253.29,10048.22,62.86,39.98
9164,2017-09-18,Thermal_Coal Lignite,193276.5,5814.0,12540.0,9674.0,50538.0,0.0,60212.0,31.15,133064.5,140797.15,128125.41,96.29,66.29
1983,2017-09-18,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8665,2017-09-18,Hydro,44753.42,1133.9,,651.15,1233.1,1729.5,3613.75,8.07,41139.67,30418.33,30114.15,73.2,67.29
2426,2017-09-18,Nuclear,6780.0,540.0,,1560.0,1640.0,0.0,3200.0,47.2,3580.0,4111.0,3638.24,101.63,53.66
6699,2017-09-18,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9066.86,9146.86,36.4,15984.02,10391.24,10183.42,63.71,40.52
9078,2017-09-19,Thermal_Coal Lignite,193276.5,5814.0,12540.0,9404.0,52225.5,0.0,61629.5,31.89,131647.0,140389.14,127754.12,97.04,66.1
2427,2017-09-19,Nuclear,6780.0,540.0,,1560.0,1640.0,0.0,3200.0,47.2,3580.0,3909.0,3459.47,96.63,51.02
8635,2017-09-19,Hydro,44765.42,1133.9,,801.15,1416.1,1635.51,3852.76,8.61,40912.66,29976.83,29677.06,72.54,66.29
6660,2017-09-19,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9220.36,9300.36,37.01,15830.52,10177.41,9973.86,63.0,39.69
1984,2017-09-19,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
8622,2017-09-20,Hydro,44765.42,1133.9,,801.15,1416.1,1691.17,3908.42,8.73,40857.0,32271.96,31949.24,78.2,71.37
6541,2017-09-20,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9556.36,9636.36,38.34,15494.52,10662.78,10449.52,67.44,41.58
9025,2017-09-20,Thermal_Coal Lignite,193276.5,5814.0,12540.0,9804.0,52965.5,0.0,62769.5,32.48,130507.0,138173.68,125738.05,96.35,65.06
1985,2017-09-20,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
2428,2017-09-20,Nuclear,6780.0,540.0,,1560.0,1640.0,0.0,3200.0,47.2,3580.0,3865.0,3420.53,95.55,50.45
6615,2017-09-21,Thermal_Gas Liquid,25130.88,3472.3,,0.0,80.0,9372.86,9452.86,37.61,15678.02,9507.86,9317.7,59.43,37.08
8648,2017-09-21,Hydro,44765.42,1133.9,,801.15,1572.1,1424.5,3797.75,8.48,40967.67,32109.08,31787.99,77.59,71.01
2429,2017-09-21,Nuclear,6780.0,540.0,,1560.0,1640.0,0.0,3200.0,47.2,3580.0,3869.0,3424.07,95.64,50.5
9089,2017-09-21,Thermal_Coal Lignite,193276.5,5814.0,12540.0,9804.0,51650.5,0.0,61454.5,31.8,131822.0,137711.01,125317.02,95.07,64.84
1986,2017-09-21,Thermal_Diesel,837.63,,,0.0,0.0,0.0,0.0,0.0,837.63,46.05,45.13,5.39,5.39
