Country,srcYear,srcMonth,srcCalendarDay,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from Prime Movers (PM),Capacity of power generation from Fuel Oil (FO),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output,YearCode,Year,MonthCode,Month,DayCode,CalendarDay
India,2020,Mar-2020,13-Mar-2020,Thermal_Gas Liquid,24900.86,10170.2,,33.5,4490.89,12317.82,16842.21,67.64,8058.65,8259.65,8094.46,100.44,32.51,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200313,2020-03-13
India,2020,Mar-2020,13-Mar-2020,Nuclear,6780,320,,160,1540,0,1700,25.07,5080,5175.88,4580.65,90.17,67.56,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200313,2020-03-13
India,2020,Mar-2020,14-Mar-2020,Hydro,45699.22,2673.65,,3976.82,2012.6,3869.65,9859.07,21.57,35840.15,27681.87,27405.05,76.46,59.97,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200314,2020-03-14
India,2020,Mar-2020,14-Mar-2020,Nuclear,6780,320,,160,540,0,700,10.32,6080,5164.88,4570.92,75.18,67.42,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200314,2020-03-14
India,2020,Mar-2020,14-Mar-2020,Thermal_Gas Liquid,24900.86,10170.2,,33.5,4873.39,12213.72,17120.61,68.76,7780.25,8352.35,8185.3,105.21,32.87,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200314,2020-03-14
India,2020,Mar-2020,14-Mar-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200314,2020-03-14
India,2020,Mar-2020,14-Mar-2020,Thermal_Coal Lignite,204652.5,8355,1960,5804,56336,3685,65825,32.16,138827.5,138675.31,126194.53,90.9,61.66,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200314,2020-03-14
India,2020,Mar-2020,15-Mar-2020,Thermal_Coal Lignite,204652.5,8355,1960,5804,58444,3545,67793,33.13,136859.5,135074.47,122917.77,89.81,60.06,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200315,2020-03-15
India,2020,Mar-2020,15-Mar-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200315,2020-03-15
India,2020,Mar-2020,15-Mar-2020,Hydro,45699.22,2673.65,,3858.15,2182.6,4587.45,10628.2,23.26,35071.02,26880.88,26612.07,75.88,58.23,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200315,2020-03-15
India,2020,Mar-2020,15-Mar-2020,Thermal_Gas Liquid,24900.86,10170.2,,33.5,4767.39,12183.72,16984.61,68.21,7916.25,7793.8,7637.92,96.48,30.67,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200315,2020-03-15
India,2020,Mar-2020,15-Mar-2020,Nuclear,6780,320,,160,540,0,700,10.32,6080,6173.76,5463.78,89.86,80.59,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200315,2020-03-15
India,2020,Mar-2020,16-Mar-2020,Hydro,45699.22,2673.65,,3966.82,2072.6,4351.45,10390.87,22.74,35308.35,26767.86,26500.18,75.05,57.99,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200316,2020-03-16
India,2020,Mar-2020,16-Mar-2020,Thermal_Gas Liquid,24900.86,10170.2,,33.5,4767.39,12213.72,17014.61,68.33,7886.25,8344.99,8178.09,103.7,32.84,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200316,2020-03-16
India,2020,Mar-2020,16-Mar-2020,Nuclear,6780,320,,160,540,0,700,10.32,6080,6191.23,5479.24,90.12,80.81,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200316,2020-03-16
India,2020,Mar-2020,16-Mar-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200316,2020-03-16
India,2020,Mar-2020,16-Mar-2020,Thermal_Coal Lignite,204652.5,8955,1960,6209,58521,2500,67230,32.85,137422.5,140037.25,127433.9,92.73,62.27,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200316,2020-03-16
India,2020,Mar-2020,17-Mar-2020,Thermal_Gas Liquid,24900.86,10170.2,,33.5,4767.39,12203.75,17004.65,68.29,7896.21,8395.51,8227.6,104.2,33.04,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200317,2020-03-17
India,2020,Mar-2020,17-Mar-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200317,2020-03-17
India,2020,Mar-2020,17-Mar-2020,Thermal_Coal Lignite,204652.5,8955,1960,5609,53561,2500,61670,30.13,142982.5,141338.5,128618.03,89.95,62.85,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200317,2020-03-17
India,2020,Mar-2020,17-Mar-2020,Hydro,45699.22,2673.65,,4031.82,2062.6,4694.85,10789.27,23.61,34909.95,27411.53,27137.41,77.74,59.38,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200317,2020-03-17
India,2020,Mar-2020,17-Mar-2020,Nuclear,6780,320,,160,540,0,700,10.32,6080,6159.2,5450.89,89.65,80.4,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200317,2020-03-17
India,2020,Mar-2020,18-Mar-2020,Thermal_Gas Liquid,24900.86,10170.2,,33.5,4739.12,12203.75,16976.38,68.18,7924.48,8029.56,7868.97,99.3,31.6,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200318,2020-03-18
India,2020,Mar-2020,18-Mar-2020,Thermal_Coal Lignite,205312.5,8955,2620,5709,53241,2500,61450,29.93,143862.5,147161.14,133916.64,93.09,65.23,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200318,2020-03-18
India,2020,Mar-2020,18-Mar-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200318,2020-03-18
India,2020,Mar-2020,18-Mar-2020,Hydro,45699.22,2673.65,,4123.15,2012.6,4791.85,10927.6,23.91,34771.62,27468.18,27193.5,78.21,59.51,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200318,2020-03-18
India,2020,Mar-2020,18-Mar-2020,Nuclear,6780,320,,160,540,0,700,10.32,6080,6164.9,5455.94,89.74,80.47,2019,"Financial Year (Apr - Mar), 2019",201912,"March, 2020",20200318,2020-03-18
India,2020,Jun-2020,01-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5367.68,4750.4,89.63,70.06,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200601,2020-06-01
India,2020,Jun-2020,01-Jun-2020,Thermal_Coal Lignite,205122.5,8375,3280,1424,71847.5,8315,81586.5,39.77,123536,124888.76,113648.77,92,55.41,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200601,2020-06-01
India,2020,Jun-2020,01-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,3004.63,11015.32,14019.95,56.22,10917.05,8784.35,8608.66,78.86,34.52,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200601,2020-06-01
India,2020,Jun-2020,01-Jun-2020,Hydro,45699.22,2810.45,,2776.7,1850.2,5023.85,9650.75,21.12,36048.47,30266.35,29963.69,83.12,65.57,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200601,2020-06-01
India,2020,Jun-2020,01-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200601,2020-06-01
India,2020,Jun-2020,02-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2971.13,11403.32,14374.45,57.64,10562.55,8358.44,8191.27,77.55,32.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200602,2020-06-02
India,2020,Jun-2020,02-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200602,2020-06-02
India,2020,Jun-2020,02-Jun-2020,Thermal_Coal Lignite,205122.5,8375,3280,1424,75521.5,7615,84560.5,41.22,120562,123803.92,112661.56,93.45,54.92,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200602,2020-06-02
India,2020,Jun-2020,02-Jun-2020,Hydro,45699.22,2810.45,,2841.7,2180.2,5656.25,10678.15,23.37,35021.07,28240.53,27958.12,79.83,61.18,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200602,2020-06-02
India,2020,Jun-2020,02-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5346.97,4732.07,89.28,69.79,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200602,2020-06-02
India,2020,Jun-2020,03-Jun-2020,Thermal_Coal Lignite,205122.5,8375,3280,1424,77206.5,7810,86440.5,42.14,118682,119126.87,108405.45,91.34,52.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200603,2020-06-03
India,2020,Jun-2020,03-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200603,2020-06-03
India,2020,Jun-2020,03-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2882.38,11504.61,14386.98,57.69,10550.03,8155.54,7992.43,75.76,32.05,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200603,2020-06-03
India,2020,Jun-2020,03-Jun-2020,Hydro,45699.22,2810.45,,3091.7,1990.2,5187.75,10269.65,22.47,35429.57,27906.78,27627.71,77.98,60.46,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200603,2020-06-03
India,2022,Jul-2022,28-Jul-2022,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2022,"Financial Year (Apr - Mar), 2022",202204,"July, 2022",20220728,2022-07-28
India,2020,Jun-2020,03-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5352.14,4736.64,89.37,69.86,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200603,2020-06-03
India,2020,Jun-2020,04-Jun-2020,Hydro,45699.22,2810.45,,3240.7,1860.2,5070.25,10171.15,22.26,35528.07,28653.32,28366.79,79.84,62.07,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200604,2020-06-04
India,2020,Jun-2020,04-Jun-2020,Thermal_Coal Lignite,205122.5,8375,3280,1734,81021.5,7600,90355.5,44.05,114767,116124.91,105673.67,92.08,51.52,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200604,2020-06-04
India,2020,Jun-2020,04-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2872.41,11457.61,14330.02,57.46,10606.99,7823.77,7667.29,72.29,30.75,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200604,2020-06-04
India,2020,Jun-2020,04-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200604,2020-06-04
India,2020,Jun-2020,04-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5358.95,4742.67,89.48,69.95,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200604,2020-06-04
India,2020,Jun-2020,05-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2925.28,11478.61,14403.89,57.76,10533.12,7684.96,7531.26,71.5,30.2,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200605,2020-06-05
India,2020,Jun-2020,05-Jun-2020,Thermal_Coal Lignite,205122.5,8375,3280,1674,81701.5,7500,90875.5,44.3,114247,112018.95,101937.25,89.23,49.7,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200605,2020-06-05
India,2020,Jun-2020,05-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5364.54,4747.62,89.58,70.02,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200605,2020-06-05
India,2020,Jun-2020,05-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200605,2020-06-05
India,2020,Jun-2020,05-Jun-2020,Hydro,45699.22,2810.45,,2656.7,1860.2,5239.85,9756.75,21.35,35942.47,29249.26,28956.77,80.56,63.36,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200605,2020-06-05
India,2020,Jun-2020,06-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2925.28,11463.96,14389.24,57.7,10547.76,7723.92,7569.44,71.76,30.35,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200606,2020-06-06
India,2020,Jun-2020,06-Jun-2020,Thermal_Coal Lignite,205392.5,8375,3550,1674,83001.5,7250,91925.5,44.76,113467,114868.83,104530.63,92.12,50.89,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200606,2020-06-06
India,2020,Jun-2020,06-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200606,2020-06-06
India,2020,Jun-2020,06-Jun-2020,Hydro,45699.22,2810.45,,2972.7,1940.2,5069.25,9982.15,21.84,35717.07,29424.66,29130.41,81.56,63.74,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200606,2020-06-06
India,2020,Jun-2020,06-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5367.84,4750.54,89.63,70.07,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200606,2020-06-06
India,2020,Jun-2020,07-Jun-2020,Hydro,45699.22,2810.45,,2953.7,1725.2,4944.85,9623.75,21.06,36075.47,29631.88,29335.56,81.32,64.19,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200607,2020-06-07
India,2020,Jun-2020,07-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2905.28,11348.57,14253.85,57.16,10683.16,7763.41,7608.14,71.22,30.51,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200607,2020-06-07
India,2020,Jun-2020,07-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5394.61,4774.23,90.08,70.42,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200607,2020-06-07
India,2020,Jun-2020,07-Jun-2020,Thermal_Coal Lignite,205392.5,8375,3550,1674,83701.5,7640,93015.5,45.29,112377,112559.62,102429.25,91.15,49.87,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200607,2020-06-07
India,2020,Jun-2020,07-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200607,2020-06-07
India,2020,Jun-2020,08-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5387.65,4768.07,89.96,70.33,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200608,2020-06-08
India,2020,Jun-2020,08-Jun-2020,Hydro,45699.22,2810.45,,2703.7,1725.2,5323.25,9752.15,21.34,35947.07,30254.27,29951.73,83.32,65.54,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200608,2020-06-08
India,2020,Jun-2020,08-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2905.28,10987.6,13892.89,55.71,11044.12,8314.64,8148.35,73.78,32.68,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200608,2020-06-08
India,2020,Jun-2020,08-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200608,2020-06-08
India,2020,Jun-2020,08-Jun-2020,Thermal_Coal Lignite,205392.5,8375,3550,1674,84486.5,7640,93800.5,45.67,111592,116531.79,106043.93,95.03,51.63,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200608,2020-06-08
India,2020,Jun-2020,09-Jun-2020,Thermal_Coal Lignite,205392.5,8375,3550,1136.5,81945,6830,89911.5,43.78,115481,118279.64,107634.47,93.21,52.4,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200609,2020-06-09
India,2020,Jun-2020,09-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200609,2020-06-09
India,2020,Jun-2020,09-Jun-2020,Hydro,45699.22,2810.45,,2768.7,1980.2,5057.45,9806.35,21.46,35892.87,29743.72,29446.28,82.04,64.43,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200609,2020-06-09
India,2020,Jun-2020,09-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5342.75,4728.33,89.21,69.74,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200609,2020-06-09
India,2020,Jun-2020,09-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2905.28,10997.57,13902.85,55.75,11034.16,9212.77,9028.51,81.82,36.21,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200609,2020-06-09
India,2020,Jun-2020,10-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5354.22,4738.48,89.41,69.89,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200610,2020-06-10
India,2020,Jun-2020,10-Jun-2020,Thermal_Coal Lignite,205392.5,8375,3550,1076.5,78205,5530,84811.5,41.29,120581,123260.74,112167.27,93.02,54.61,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200610,2020-06-10
India,2020,Jun-2020,10-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200610,2020-06-10
India,2020,Jun-2020,10-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2994.28,10587.6,13581.89,54.46,11355.12,9458.5,9269.33,81.63,37.17,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200610,2020-06-10
India,2020,Jun-2020,10-Jun-2020,Hydro,45699.22,2810.45,,2768.7,1624.4,4893.65,9286.75,20.32,36412.47,29627.43,29331.16,80.55,64.18,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200610,2020-06-10
India,2020,Jun-2020,11-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5296.01,4686.97,88.43,69.13,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200611,2020-06-11
India,2020,Jun-2020,11-Jun-2020,Hydro,45699.22,2810.45,,2768.7,1844.4,4534.65,9147.75,20.02,36551.47,29637.73,29341.35,80.27,64.21,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200611,2020-06-11
India,2020,Jun-2020,11-Jun-2020,Thermal_Gas Liquid,24937.01,9160.2,,0,2926.28,10617.6,13543.89,54.31,11393.12,10224.61,10020.12,87.95,40.18,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200611,2020-06-11
India,2020,Jun-2020,11-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200611,2020-06-11
India,2020,Jun-2020,11-Jun-2020,Thermal_Coal Lignite,205392.5,8375,3550,1676.5,73460,5280,80416.5,39.15,124976,124601.45,113387.32,90.73,55.21,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200611,2020-06-11
India,2020,Jun-2020,12-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200612,2020-06-12
India,2020,Jun-2020,12-Jun-2020,Thermal_Coal Lignite,205392.5,8375,3550,1676.5,73665,5600,80941.5,39.41,124451,125676.58,114365.69,91.9,55.68,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200612,2020-06-12
India,2020,Jun-2020,12-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2971.85,10587.6,13559.45,54.37,11377.56,10413.36,10205.09,89.69,40.92,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200612,2020-06-12
India,2020,Jun-2020,12-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5325.05,4712.67,88.92,69.51,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200612,2020-06-12
India,2020,Jun-2020,12-Jun-2020,Hydro,45699.22,2810.45,,2768.7,1837.6,4231.45,8837.75,19.34,36861.47,30508.31,30203.23,81.94,66.09,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200612,2020-06-12
India,2020,Jun-2020,13-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2981.81,10938.6,13920.42,55.82,11016.59,9976.94,9777.4,88.75,39.21,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200613,2020-06-13
India,2020,Jun-2020,13-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200613,2020-06-13
India,2020,Jun-2020,13-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5332.83,4719.55,89.05,69.61,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200613,2020-06-13
India,2020,Jun-2020,13-Jun-2020,Hydro,45699.22,2810.45,,2768.7,1720.4,4837.95,9327.05,20.41,36372.17,30087.39,29786.52,81.89,65.18,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200613,2020-06-13
India,2020,Jun-2020,13-Jun-2020,Thermal_Coal Lignite,205392.5,8375,3550,1676.5,75325,5120,82121.5,39.98,123271,123842.41,112696.6,91.42,54.87,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200613,2020-06-13
India,2020,Jun-2020,14-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200614,2020-06-14
India,2020,Jun-2020,14-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5340.06,4725.95,89.17,69.7,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200614,2020-06-14
India,2020,Jun-2020,14-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2936.25,10948.57,13884.82,55.68,11052.19,9674.22,9480.73,85.78,38.02,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200614,2020-06-14
India,2020,Jun-2020,14-Jun-2020,Thermal_Coal Lignite,205392.5,8375,3550,1676.5,73345,5620,80641.5,39.26,124751,122910.31,111848.38,89.66,54.46,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200614,2020-06-14
India,2020,Jun-2020,14-Jun-2020,Hydro,45699.22,2810.45,,2653.7,1811.9,4682.15,9147.75,20.02,36551.47,29914.91,29615.76,81.02,64.81,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200614,2020-06-14
India,2020,Jun-2020,15-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200615,2020-06-15
India,2020,Jun-2020,15-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2958.25,10938.6,13896.85,55.73,11040.16,10208.18,10004.02,90.61,40.12,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200615,2020-06-15
India,2020,Jun-2020,15-Jun-2020,Hydro,45699.22,2810.45,,2453.7,1734.4,4341.15,8529.25,18.66,37169.97,31014.51,30704.36,82.61,67.19,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200615,2020-06-15
India,2020,Jun-2020,15-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5318.3,4706.7,88.81,69.42,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200615,2020-06-15
India,2020,Jun-2020,15-Jun-2020,Thermal_Coal Lignite,205392.5,8375,3550,1886.5,70810,5120,77816.5,37.89,127576,124458.08,113256.86,88.78,55.14,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200615,2020-06-15
India,2020,Jun-2020,16-Jun-2020,Thermal_Coal Lignite,205392.5,8375,3550,1886.5,69400,5620,76906.5,37.44,128486,125148.51,113885.15,88.64,55.45,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200616,2020-06-16
India,2020,Jun-2020,16-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200616,2020-06-16
India,2020,Jun-2020,16-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2948.28,10938.6,13886.89,55.69,11050.12,10341.61,10134.78,91.72,40.64,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200616,2020-06-16
India,2020,Jun-2020,16-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5310.1,4699.44,88.67,69.31,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200616,2020-06-16
India,2020,Jun-2020,16-Jun-2020,Hydro,45699.22,2810.45,,2793.7,1824.4,4461.95,9080.05,19.87,36619.17,30838.92,30530.53,83.37,66.81,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200616,2020-06-16
India,2020,Jun-2020,17-Jun-2020,Thermal_Diesel,509.71,,,,,,,,509.71,46.05,45.13,8.85,8.85,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200617,2020-06-17
India,2020,Jun-2020,17-Jun-2020,Nuclear,6780,320,,1160,320,0,1480,21.83,5300,5293.08,4684.38,88.38,69.09,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200617,2020-06-17
India,2020,Jun-2020,17-Jun-2020,Hydro,45699.22,2810.45,,2893.7,1624.4,4431.15,8949.25,19.58,36749.97,31127.07,30815.8,83.85,67.43,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200617,2020-06-17
India,2020,Jun-2020,17-Jun-2020,Thermal_Coal Lignite,205392.5,8375,3550,1886.5,70130,5410,77426.5,37.7,127966,125582.71,114280.27,89.31,55.64,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200617,2020-06-17
India,2020,Jun-2020,17-Jun-2020,Thermal_Gas Liquid,24937.01,9250.2,,0,2948.28,10968.6,13916.89,55.81,11020.12,9345.55,9158.64,83.11,36.73,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200617,2020-06-17
India,2020,Jun-2020,18-Jun-2020,Thermal_Gas Liquid,24937.01,9000.2,,0,2969.28,11035.6,14004.89,56.16,10932.12,9282.26,9096.61,83.21,36.48,2020,"Financial Year (Apr - Mar), 2020",202003,"June, 2020",20200618,2020-06-18
