Country,srcYear,srcMonth,srcCalendarDay,Type of power generation,Monitored capacity,Capacity under long outage,New capacity under stabilization or completion of balance works,Capacity of power generation from Prime Movers (PM),Capacity of power generation from Fuel Oil (FO),Capacity of power generation from other sources,Total capacity of power generation from all sources,Capacity outage as percent of monitered,Operational capacity of power generation,Gross sum of maximum power generated,Net sum of maximum power generated,Maximum power output as percentage of capacity on line,Percentage of monitered maximum power output,YearCode,Year,MonthCode,Month,DayCode,CalendarDay
India,2017,Oct-2017,15-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171015,2017-10-15
India,2017,Oct-2017,15-Oct-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9259.26,9339.26,37.16,15791.62,10884.82,10667.12,67.55,42.45,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171015,2017-10-15
India,2017,Oct-2017,15-Oct-2017,Nuclear,6780,540,,1140,1100,0,2240,33.04,4540,4809.83,4256.7,93.76,62.78,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171015,2017-10-15
India,2017,Oct-2017,15-Oct-2017,Thermal_Coal Lignite,193426.5,5569,12690,6294,55590.5,0,61884.5,31.99,131542,137058.93,124723.63,94.82,64.48,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171015,2017-10-15
India,2017,Oct-2017,15-Oct-2017,Hydro,44765.42,1138.9,,886.65,1591,1398.75,3876.4,8.66,40889.02,31357.07,31043.5,75.92,69.35,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171015,2017-10-15
India,2017,Oct-2017,16-Oct-2017,Thermal_Coal Lignite,193426.5,5569,12690,5794,56328,0,62122,32.12,131304.5,141456.88,128725.76,98.04,66.55,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171016,2017-10-16
India,2017,Oct-2017,16-Oct-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9223.66,9303.66,37.02,15827.22,10802.95,10586.89,66.89,42.13,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171016,2017-10-16
India,2017,Oct-2017,16-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171016,2017-10-16
India,2017,Oct-2017,16-Oct-2017,Hydro,44765.42,1138.9,,886.65,1783.5,1473.75,4143.9,9.26,40621.52,30313.01,30009.88,73.88,67.04,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171016,2017-10-16
India,2017,Oct-2017,16-Oct-2017,Nuclear,6780,540,,1140,1100,0,2240,33.04,4540,4909.83,4345.2,95.71,64.09,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171016,2017-10-16
India,2017,Oct-2017,17-Oct-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9676.16,9756.16,38.82,15374.72,12293.57,12047.7,78.36,47.94,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171017,2017-10-17
India,2017,Oct-2017,17-Oct-2017,Nuclear,6780,540,,1140,1100,0,2240,33.04,4540,4909.83,4345.2,95.71,64.09,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171017,2017-10-17
India,2017,Oct-2017,17-Oct-2017,Thermal_Coal Lignite,193426.5,5569,12690,5794,52003,0,57797,29.88,135629.5,144249.63,131267.16,96.78,67.86,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171017,2017-10-17
India,2017,Oct-2017,17-Oct-2017,Hydro,44765.42,1138.9,,886.65,1794,1269.75,3950.4,8.82,40815.02,31462.48,31147.86,76.31,69.58,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171017,2017-10-17
India,2017,Oct-2017,17-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171017,2017-10-17
India,2017,Oct-2017,18-Oct-2017,Hydro,44765.42,1138.9,,886.65,1531,1415.15,3832.8,8.56,40932.62,29951.99,29652.47,72.44,66.24,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171018,2017-10-18
India,2017,Oct-2017,18-Oct-2017,Nuclear,6780,540,,1140,1100,0,2240,33.04,4540,4856.83,4298.29,94.68,63.4,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171018,2017-10-18
India,2017,Oct-2017,18-Oct-2017,Thermal_Coal Lignite,193426.5,5569,12690,5794,51100.5,0,56894.5,29.41,136532,143782.46,130842.04,95.83,67.64,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171018,2017-10-18
India,2017,Oct-2017,18-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171018,2017-10-18
India,2017,Oct-2017,18-Oct-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9321.66,9401.66,37.41,15729.22,11439.1,11210.32,71.27,44.61,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171018,2017-10-18
India,2017,Oct-2017,19-Oct-2017,Thermal_Coal Lignite,193426.5,5569,12690,5794,54160.5,0,59954.5,31,133472,138821.39,126327.46,94.65,65.31,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171019,2017-10-19
India,2017,Oct-2017,19-Oct-2017,Thermal_Gas Liquid,25130.88,3472.3,,0,80,9321.66,9401.66,37.41,15729.22,9736.9,9542.16,60.67,37.97,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171019,2017-10-19
India,2017,Oct-2017,19-Oct-2017,Nuclear,6780,540,,1140,1100,0,2240,33.04,4540,4856.83,4298.29,94.68,63.4,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171019,2017-10-19
India,2017,Oct-2017,19-Oct-2017,Hydro,44765.42,1138.9,,886.65,1585,1496.15,3967.8,8.86,40797.62,30576.6,30270.83,74.2,67.62,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171019,2017-10-19
India,2017,Oct-2017,19-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171019,2017-10-19
India,2017,Oct-2017,20-Oct-2017,Thermal_Diesel,837.63,,,0,0,0,0,0,837.63,46.05,45.13,5.39,5.39,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171020,2017-10-20
India,2017,Oct-2017,20-Oct-2017,Nuclear,6780,540,,1140,1100,0,2240,33.04,4540,4850.83,4292.98,94.56,63.32,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171020,2017-10-20
India,2017,Oct-2017,20-Oct-2017,Hydro,44765.42,1138.9,,886.65,1693,1840.92,4420.57,9.87,40344.85,29894.49,29595.55,73.36,66.11,2017,"Financial Year (Apr - Mar), 2017",201707,"October, 2017",20171020,2017-10-20
